country_code,gdp_per_capita,extreme_poverty
ABW,35973.781,
AFG,1803.987,
AGO,5819.495,
AIA,,
ALB,11803.431,1.1
AND,,
ARE,67293.483,
ARG,18933.907,0.6
ARM,8787.58,1.8
ATG,21490.943,
AUS,44648.71,0.5
AUT,45436.685999999994,0.7
AZE,15847.419,
BDI,702.225,71.7
BEL,42658.575999999994,0.2
BEN,2064.236,49.6
BES,,
BFA,1703.102,43.7
BGD,3523.9840000000004,14.8
BGR,18563.307,1.5
BHR,43290.705,
BHS,27717.847,
BIH,11713.895,0.2
BLR,17167.967,
BLZ,7824.361999999999,
BMU,50669.315,
BOL,6885.829000000001,7.1
BRA,14103.452,3.4
BRB,16978.068,
BRN,71809.25099999999,
BTN,8708.597,1.5
BWA,15807.374,
CAF,661.24,
CAN,44017.59099999999,0.5
CHE,57410.166,
CHL,22767.037,1.3
CHN,15308.712,0.7
CIV,3601.006,28.2
CMR,3364.926,23.8
COD,808.133,77.1
COG,4881.406,37.0
COL,13254.948999999999,4.5
COM,1413.89,18.1
CPV,6222.554,
CRI,15524.995,1.3
CUB,,
CUW,,
CYM,49903.029,
CYP,32415.132,
CZE,32605.906000000003,
DEU,45229.245,
DJI,2705.406,22.5
DMA,9673.367,
DNK,46682.515,0.2
DOM,14600.861,1.6
DZA,13913.839,0.5
ECU,10581.936000000002,3.6
EGY,10550.206,1.3
ERI,1510.4589999999998,
ESH,,
ESP,34272.36,1.0
EST,29481.252,0.5
ETH,1729.9270000000001,26.7
FIN,40585.721,
FJI,8702.975,1.4
FLK,,
FRA,38605.671,
FRO,,
GAB,16562.413,3.4
GBR,39753.244,0.2
GEO,9745.079,4.2
GGY,,
GHA,4227.63,12.0
GIB,,
GIN,1998.9260000000002,35.3
GMB,1561.767,10.1
GNB,1548.675,67.1
GNQ,22604.873,
GRC,24574.382,1.5
GRD,13593.877,
GRL,,
GTM,7423.808000000001,8.7
GUM,,
GUY,7435.047,
HKG,56054.92,
HND,4541.795,16.0
HRV,22669.797000000002,0.7
HTI,1653.1729999999998,23.5
HUN,26777.561,0.5
IDN,11188.743999999999,5.7
IMN,,
IND,6426.674,21.2
IRL,67335.293,0.2
IRN,19082.62,0.2
IRQ,15663.986,2.5
ISL,46482.958,0.2
ISR,33132.32,0.5
ITA,35220.084,2.0
JAM,8193.571,
JEY,,
JOR,8337.49,0.1
JPN,39002.223,
KAZ,24055.588,0.1
KEN,2993.028,36.8
KGZ,3393.474,1.4
KHM,3645.07,
KNA,24654.385,
KOR,35938.373999999996,0.2
KWT,65530.537000000004,
LAO,6397.36,22.7
LBN,13367.565,
LBR,752.788,38.6
LBY,17881.509,
LCA,12951.839,
LIE,,
LKA,11669.077,0.7
LSO,2851.153,59.6
LTU,29524.265,0.7
LUX,94277.965,0.2
LVA,25063.846,0.7
MAR,7485.013000000001,1.0
MCO,,
MDA,5189.972,0.2
MDG,1416.44,77.6
MDV,15183.616000000002,
MEX,17336.468999999997,2.5
MKD,13111.214,5.0
MLI,2014.306,
MLT,36513.323,0.2
MMR,5591.597,6.4
MNE,16409.288,1.0
MNG,11840.846000000001,0.5
MNP,,
MOZ,1136.103,62.9
MRT,3597.633,6.0
MSR,,
MUS,20292.745,0.5
MWI,1095.042,71.4
MYS,26808.164,0.1
NAM,9541.808,13.4
NCL,,
NER,926.0,44.5
NGA,5338.454000000001,
NIC,5321.444,3.2
NLD,48472.545,
NOR,64800.057,0.2
NPL,2442.804,15.0
NZL,36085.843,
OMN,37960.709,
PAK,5034.708,4.0
PAN,22267.037,2.2
PER,12236.706,3.5
PHL,7599.188,
PNG,3823.1940000000004,
POL,27216.445,
PRI,35044.67,
PRT,27936.896,0.5
PRY,8827.01,1.7
PSE,4449.898,1.0
PYF,,
QAT,116935.6,
ROU,23313.199,5.7
RUS,24765.953999999998,0.1
RWA,1854.211,56.0
SAU,49045.41099999999,
SDN,4466.5070000000005,
SEN,2470.58,38.0
SGP,85535.383,
SLE,1390.3,52.2
SLV,7292.4580000000005,2.2
SMR,56861.47,
SOM,,
SRB,14048.881000000001,
SSD,1569.888,
STP,3052.7140000000004,32.3
SUR,13767.118999999999,
SVK,30155.152000000002,0.7
SVN,31400.84,
SWE,46949.282999999996,0.5
SWZ,7738.975,
SXM,36327.232,
SYC,26382.287,1.1
SYR,,
TCA,,
TCD,1768.1529999999998,38.4
TGO,1429.8129999999999,49.2
THA,16277.671,0.1
TJK,2896.913,4.8
TLS,6570.102,30.3
TTO,28763.071,
TUN,10849.296999999999,2.0
TUR,25129.341,0.2
TWN,,
TZA,2683.304,49.1
UGA,1697.707,41.6
UKR,7894.393,0.1
URY,20551.409,0.1
USA,54225.445999999996,1.2
UZB,6253.104,
VAT,,
VCT,10727.146,
VEN,16745.022,
VGB,,
VIR,,
VNM,6171.884,2.0
OWID_KOS,9795.834,0.6
YEM,1479.1470000000002,18.8
ZAF,12294.876,18.9
ZMB,3689.2509999999997,57.5
ZWE,1899.775,21.4
OWID_WRL,15469.207,10.0
INT,,
