country_code,life_expectancy,human_development_index
ABW,76.29,
AFG,64.83,0.498
AGO,61.15,0.581
AIA,81.88,
ALB,78.57,0.785
AND,83.73,0.858
ARE,77.97,0.863
ARG,76.67,0.825
ARM,75.09,0.755
ATG,77.02,0.78
AUS,83.44,0.9390000000000001
AUT,81.54,0.9079999999999999
AZE,73.0,0.757
BDI,61.58,0.41700000000000004
BEL,81.63,0.9159999999999999
BEN,61.77,0.515
BES,77.79,
BFA,61.58,0.423
BGD,72.59,0.608
BGR,75.05,0.813
BHR,77.29,0.846
BHS,73.92,0.807
BIH,77.4,0.768
BLR,74.79,0.8079999999999999
BLZ,74.62,0.708
BMU,82.59,
BOL,71.51,0.693
BRA,75.88,0.759
BRB,79.19,0.8
BRN,75.86,0.853
BTN,71.78,0.612
BWA,69.59,0.7170000000000001
CAF,53.28,0.36700000000000005
CAN,82.43,0.9259999999999999
CHE,83.78,0.9440000000000001
CHL,80.18,0.843
CHN,76.91,0.752
CIV,57.78,0.49200000000000005
CMR,59.29,0.556
COD,60.68,0.457
COG,64.57,0.606
COL,77.29,0.747
COM,64.32,0.503
CPV,72.98,0.654
CRI,80.28,0.794
CUB,78.8,0.777
CUW,78.88,
CYM,83.92,
CYP,80.98,0.8690000000000001
CZE,79.38,0.888
DEU,81.33,0.9359999999999999
DJI,67.11,0.47600000000000003
DMA,75.0,0.715
DNK,80.9,0.929
DOM,74.08,0.736
DZA,76.88,0.754
ECU,77.01,0.752
EGY,71.99,0.696
ERI,66.32,0.44
ESH,70.26,
ESP,83.56,0.8909999999999999
EST,78.74,0.871
ETH,66.6,0.46299999999999997
FIN,81.91,0.92
FJI,67.44,0.741
FLK,81.44,
FRA,82.66,0.9009999999999999
FRO,80.67,
GAB,66.47,0.7020000000000001
GBR,81.32,0.922
GEO,73.77,0.78
GGY,,
GHA,64.07,0.5920000000000001
GIB,79.93,
GIN,61.6,0.45899999999999996
GMB,62.05,0.46
GNB,58.32,0.455
GNQ,58.74,0.591
GRC,82.24,0.87
GRD,72.4,0.772
GRL,71.7,
GTM,74.3,0.65
GUM,80.07,
GUY,69.91,0.654
HKG,84.86,0.9329999999999999
HND,75.27,0.617
HRV,78.49,0.831
HTI,64.0,0.498
HUN,76.88,0.838
IDN,71.72,0.6940000000000001
IMN,81.4,
IND,69.66,0.64
IRL,82.3,0.938
IRN,76.68,0.7979999999999999
IRQ,70.6,0.685
ISL,82.99,0.935
ISR,82.97,0.903
ITA,83.51,0.88
JAM,74.47,0.732
JEY,,
JOR,74.53,0.735
JPN,84.63,0.909
KAZ,73.6,0.8
KEN,66.7,0.59
KGZ,71.45,0.672
KHM,69.82,0.5820000000000001
KNA,76.23,0.778
KOR,83.03,0.903
KWT,75.49,0.8029999999999999
LAO,67.92,0.601
LBN,78.93,0.757
LBR,64.1,0.435
LBY,72.91,0.706
LCA,76.2,0.747
LIE,82.49,0.9159999999999999
LKA,76.98,0.77
LSO,54.33,0.52
LTU,75.93,0.858
LUX,82.25,0.904
LVA,75.29,0.847
MAR,76.68,0.667
MCO,86.75,
MDA,71.9,0.7
MDG,67.04,0.519
MDV,78.92,0.7170000000000001
MEX,75.05,0.774
MKD,75.8,0.757
MLI,59.31,0.42700000000000005
MLT,82.53,0.878
MMR,67.13,0.578
MNE,76.88,0.8140000000000001
MNG,69.87,0.741
MNP,76.74,
MOZ,60.85,0.43700000000000006
MRT,64.92,0.52
MSR,74.16,
MUS,74.99,0.79
MWI,64.26,0.47700000000000004
MYS,76.16,0.802
NAM,63.71,0.647
NCL,77.55,
NER,62.42,0.354
NGA,54.69,0.532
NIC,74.48,0.6579999999999999
NLD,82.28,0.9309999999999999
NOR,82.4,0.953
NPL,70.78,0.574
NZL,82.29,0.917
OMN,77.86,0.821
PAK,67.27,0.562
PAN,78.51,0.789
PER,76.74,0.75
PHL,71.23,0.6990000000000001
PNG,64.5,0.544
POL,78.73,0.865
PRI,80.1,
PRT,82.05,0.847
PRY,74.25,0.7020000000000001
PSE,74.05,0.6859999999999999
PYF,77.66,
QAT,80.23,0.856
ROU,76.05,0.8109999999999999
RUS,72.58,0.816
RWA,69.02,0.524
SAU,75.13,0.853
SDN,65.31,0.502
SEN,67.94,0.505
SGP,83.62,0.932
SLE,54.7,0.419
SLV,73.32,0.674
SMR,84.97,
SOM,57.4,
SRB,76.0,0.787
SSD,57.85,0.38799999999999996
STP,70.39,0.589
SUR,71.68,0.72
SVK,77.54,0.855
SVN,81.32,0.8959999999999999
SWE,82.8,0.9329999999999999
SWZ,60.19,0.588
SXM,78.95,
SYC,73.4,0.797
SYR,72.7,0.536
TCA,80.22,
TCD,54.24,0.40399999999999997
TGO,61.04,0.503
THA,77.15,0.755
TJK,71.1,0.65
TLS,69.5,0.625
TTO,73.51,0.784
TUN,76.7,0.735
TUR,77.69,0.7909999999999999
TWN,80.46,
TZA,65.46,0.5379999999999999
UGA,63.37,0.516
UKR,72.06,0.7509999999999999
URY,77.91,0.804
USA,78.86,0.924
UZB,71.72,0.71
VAT,75.12,
VCT,72.53,0.723
VEN,72.06,0.7609999999999999
VGB,79.07,
VIR,80.58,
VNM,75.4,0.6940000000000001
OWID_KOS,,
YEM,66.12,0.452
ZAF,64.13,0.6990000000000001
ZMB,63.89,0.588
ZWE,61.49,0.535
OWID_WRL,72.58,
INT,,
